Runs,Mins,4s,6s,Pos,Dismissal,Inns,Opposition,Ground,Label 
5,9,0,0,8,caught,1,v England,Wellington,not play
6,5,1,0,8,run out,1,v England,Auckland,not play
42,67,2,1,7,caught,1,v England,Auckland,play
3,6,0,0,7,bowled,1,v England,Dunedin,not play
6,10,0,0,7,caught,2,v England,Christchurch,not play
16,15,2,0,8,not out,1,v Australia,Auckland,not play
DNB,-,-,-,-,-,2,v South Africa,Auckland,play
1,4,0,0,5,not out,1,v Zimbabwe,Napier,not play
4,6,1,0,8,not out,2,v India,Dunedin,not play
DNB,-,-,-,-,-,2,v England,Wellington,play
31,59,0,0,5,caught,1,v Australia,Adelaide,play
5,13,0,0,5,caught,2,v Australia,Melbourne,not play
30,80,1,0,5,not out,2,v South Africa,Hobart,not play
70,62,4,3,7,run out,1,v South Africa,Brisbane,play
16,34,0,1,7,caught,1,v Australia,Sydney,not play
29,43,5,0,6,caught,1,v South Africa,Perth,not play
39,53,2,0,7,lbw,2,v Australia,Melbourne,play
13,20,0,1,4,caught,1,v Pakistan,Dunedin,not play
3,15,0,0,6,bowled,2,v Pakistan,Auckland,not play
2,10,0,0,6,bowled,2,v Pakistan,Wellington,not play
39,82,1,1,5,run out,2,v Pakistan,Auckland,play
DNB,-,-,-,-,-,2,v Pakistan,Christchurch,play
25,29,2,1,5,caught,2,v India,Napier,not play
22,34,2,0,5,lbw,2,v Australia,Auckland,not play
33,42,4,0,5,caught,1,v South Africa,Christchurch,play
17,49,1,0,5,caught,1,v Australia,Auckland,not play
72,80,3,3,5,caught,1,v Sri Lanka,Christchurch,play
42,50,0,4,5,caught,1,v Sri Lanka,Hamilton,play
15,26,1,0,5,caught,2,v Sri Lanka,Auckland,not play
DNB,-,-,-,-,-,2,v India,Jamshedpur,play
4,13,0,0,6,bowled,1,v India,Amritsar,not play
103,87,10,4,6,stumped,1,v India,Pune,play
14,14,2,0,5,caught,1,v India,Nagpur,not play
18,40,0,0,7,caught,2,v Pakistan,Dunedin,not play
54,79,2,0,6,caught,2,v Pakistan,Christchurch,play
7,14,0,0,7,run out,2,v Pakistan,Wellington,not play
11,12,1,0,5,caught,1,v Pakistan,Auckland,not play
23,31,0,1,5,run out,1,v Zimbabwe,Auckland,not play
36,36,4,1,5,caught,1,v England,Ahmedabad,play
52,54,4,2,5,bowled,1,v Netherlands,Vadodara,play
9,30,2,0,5,bowled,1,v South Africa,Faisalabad,not play
6,10,0,0,5,caught,1,v U.A.E.,Faisalabad,not play
32,28,1,2,6,caught,2,v Pakistan,Lahore,play
4,6,0,0,7,caught,1,v Australia,Chennai,not play
21,60,2,0,6,caught,1,v West Indies,Kingston,not play
41,70,3,0,6,bowled,2,v West Indies,Port of Spain,play
38,58,0,2,5,stumped,1,v West Indies,Port of Spain,play
29,50,4,0,7,caught,1,v West Indies,Georgetown,not play
11,9,0,1,6,caught,1,v West Indies,Kingstown,not play
71,129,1,4,5,caught,1,v Sri Lanka,Sharjah,play
26,62,1,1,5,caught,1,v Pakistan,Sharjah,not play
11,32,0,0,5,run out,1,v Sri Lanka,Sharjah,not play
18,23,2,0,5,bowled,1,v Pakistan,Sharjah,not play
8,26,1,0,6,lbw,2,v Pakistan,Sharjah,not play
36,39,1,2,5,caught,2,v Pakistan,Gujranwala,play
10,17,0,1,5,bowled,2,v Pakistan,Sialkot,not play
25,42,1,1,5,not out,2,v Pakistan,Karachi,not play
15,31,1,0,5,caught,1,v England,Christchurch,not play
79,104,5,3,5,run out,1,v England,Auckland,play
11,17,1,0,5,caught,1,v England,Napier,not play
2,5,0,0,5,run out,1,v England,Auckland,not play
1,4,0,0,4,caught,1,v England,Wellington,not play
27,69,0,0,5,caught,1,v Sri Lanka,Christchurch,not play
56,85,7,0,5,bowled,1,v Sri Lanka,Wellington,play
17,28,0,0,4,bowled,1,v Pakistan,Mohali,not play
3,10,0,0,5,lbw,1,v India,Bengaluru,not play
6,31,0,0,5,caught,2,v Sri Lanka,Hyderabad (Deccan),not play
26,17,5,0,5,caught,2,v Zimbabwe,Bulawayo,not play
16,57,0,0,5,caught,1,v Zimbabwe,Harare,not play
71,104,9,1,2,caught,1,v Zimbabwe,Harare,play
55,80,8,1,3,caught,1,v South Africa,Adelaide,play
0,5,0,0,5,caught,1,v Australia,Adelaide,not play
29,36,5,0,3,bowled,2,v South Africa,Hobart,not play
0,5,0,0,3,bowled,1,v Australia,Melbourne,not play
64,61,2,4,7,run out,2,v South Africa,Brisbane,play
5,17,0,0,6,caught,2,v Australia,Sydney,not play
17,49,1,0,6,caught,2,v South Africa,Perth,not play
4,6,0,0,7,caught,2,v Australia,Melbourne,not play
43,52,0,4,6,caught,1,v Zimbabwe,Hamilton,play
DNB,-,-,-,-,-,2,v Zimbabwe,Wellington,play
16,37,0,0,6,caught,1,v Australia,Christchurch,not play
67,103,6,1,3,lbw,2,v Australia,Wellington,play
DNB,-,-,-,-,-,2,v Australia,Napier,play
2,12,0,0,6,caught,1,v Australia,Auckland,not play
1,6,0,0,6,bowled,2,v Zimbabwe,Christchurch,not play
DNB,-,-,-,-,-,2,v Zimbabwe,Napier,play
0,3,0,0,6,bowled,1,v Zimbabwe,Auckland,not play
4,23,1,0,3,bowled,2,v India,Sharjah,not play
19,48,3,0,3,caught,1,v Australia,Sharjah,not play
19,47,1,1,5,caught,2,v India,Sharjah,not play
56,56,5,1,5,stumped,1,v Australia,Sharjah,play
7,19,0,0,6,caught,1,v Sri Lanka,Colombo (RPS),not play
20,26,0,0,6,caught,1,v India,Colombo (RPS),not play
19,40,0,0,6,not out,1,v India,Colombo (SSC),not play
28,40,0,2,6,caught,2,v Sri Lanka,Colombo (SSC),not play
23,47,0,1,4,caught,2,v India,Taupo,not play
44,86,2,0,5,caught,1,v India,Napier,play
DNB,-,-,-,-,-,2,v India,Wellington,play
44,119,2,2,5,caught,1,v India,Auckland,play
115,106,7,7,5,caught,1,v India,Christchurch,play
5,11,1,0,5,run out,2,v South Africa,Dunedin,not play
7*,11,0,0,6,not out,2,v Bangladesh,Chelmsford,play
60,111,5,3,6,caught,2,v Australia,Cardiff,play
23,58,2,0,6,caught,1,v West Indies,Southampton,not play
0,3,0,0,6,lbw,2,v Pakistan,Derby,not play
20,20,1,1,6,not out,2,v Scotland,Edinburgh,not play
DNB,-,-,-,-,-,2,v Zimbabwe,Leeds,play
17,21,1,1,6,bowled,2,v South Africa,Birmingham,not play
11,45,0,0,6,caught,2,v India,Nottingham,not play
44,77,3,0,6,not out,1,v Pakistan,Manchester,play
24,21,2,1,5,run out,1,v India,Rajkot,not play
13,27,2,0,6,run out,2,v India,Hyderabad (Deccan),not play
8,25,0,0,6,caught,2,v India,Gwalior,not play
80,145,4,3,5,run out,1,v India,Guwahati,play
41,56,4,2,5,lbw,1,v India,Delhi,play
75,103,2,6,5,caught,2,v West Indies,Auckland,play
27,47,4,1,5,not out,2,v West Indies,Taupo,not play
8,9,1,0,5,caught,2,v West Indies,Napier,not play
DNB,-,-,-,-,-,2,v West Indies,Wellington,play
24,19,3,0,6,bowled,1,v West Indies,Christchurch,not play
TDNB,-,-,-,-,-,-,v Australia,Wellington,play
1,14,0,0,5,caught,1,v Australia,Auckland,not play
13,26,2,0,5,caught,2,v Australia,Dunedin,not play
25,34,2,1,5,caught,2,v Australia,Christchurch,not play
31,43,0,2,5,caught,1,v Australia,Napier,play
DNB,-,-,-,-,-,2,v Australia,Auckland,play
21,-,1,2,1,caught,2,v Pakistan,Singapore,not play
27,62,3,0,3,caught,1,v South Africa,Singapore,not play
13,37,1,0,5,caught,1,v Zimbabwe,Nairobi (Gym),not play
102*,141,8,2,5,not out,2,v India,Nairobi (Gym),play
TDNB,-,-,-,-,-,-,v South Africa,Potchefstroom,play
26,52,1,1,5,bowled,1,v South Africa,Benoni,not play
0,1,0,0,5,bowled,2,v South Africa,Centurion,not play
21,25,1,1,5,caught,1,v South Africa,Kimberley,not play
25,50,3,1,5,not out,1,v South Africa,Durban,not play
84,91,7,4,5,caught,1,v South Africa,Cape Town,play
5,15,0,0,5,bowled,2,v Zimbabwe,Taupo,not play
10,12,2,0,5,caught,1,v Australia,Melbourne,not play
11,31,1,0,5,bowled,2,v South Africa,Hobart,not play
31,44,3,0,5,caught,1,v Australia,Sydney,play
102,123,9,3,6,not out,2,v South Africa,Brisbane,play
39,47,1,3,6,not out,1,v Australia,Adelaide,play
9,24,0,0,6,caught,2,v South Africa,Adelaide,not play
55,92,3,0,5,caught,1,v Australia,Melbourne,play
0,3,0,0,5,caught,1,v South Africa,Melbourne,not play
57,114,4,1,6,caught,1,v South Africa,Sydney,play
8,4,2,0,5,bowled,2,v England,Christchurch,not play
11,10,0,1,7,caught,1,v England,Wellington,not play
7,18,0,0,6,caught,2,v England,Napier,not play
58,83,4,2,7,bowled,2,v England,Auckland,play
0,3,0,0,6,caught,2,v England,Dunedin,not play
25,45,4,0,5,bowled,1,v India,Wellington,not play
13,33,2,0,4,bowled,1,v India,Auckland,not play
11,17,1,0,4,bowled,2,v India,Hamilton,not play
32,71,2,0,5,caught,2,v Sri Lanka,Bloemfontein,play
37,51,2,1,5,caught,1,v West Indies,Port Elizabeth,play
DNB,-,-,-,-,-,2,v South Africa,Johannesburg,play
33,28,3,1,5,not out,2,v Bangladesh,Kimberley,play
31,40,2,1,4,caught,2,v Canada,Benoni,play
54,99,3,2,5,bowled,2,v Zimbabwe,Bloemfontein,play
16,35,2,1,5,caught,2,v Australia,Port Elizabeth,not play
20,50,1,0,6,caught,1,v India,Centurion,not play
18*,29,3,0,5,not out,2,v Pakistan,Dambulla,play
14,21,2,0,5,caught,1,v Sri Lanka,Dambulla,not play
9,24,0,0,5,caught,1,v Sri Lanka,Dambulla,not play
28,42,2,1,5,bowled,2,v Pakistan,Dambulla,not play
18,48,3,0,5,caught,2,v Pakistan,Dambulla,not play
TDNB,-,-,-,-,-,-,v India,Chennai,play
27,38,5,0,6,lbw,1,v Australia,Pune,not play
